subject_name,subject_abbreviation,course_number,course_name
PHYSICAL EDUC ACTIVITY PROGM,PE ACTIV,100,"Exercise,Nutrition,&Health"
PHYSICAL EDUC ACTIVITY PROGM,PE ACTIV,201,Intermediate Swimming
PHYSICAL EDUC ACTIVITY PROGM,PE ACTIV,162,Tennis I
PHYSICAL EDUC ACTIVITY PROGM,PE ACTIV,132,Weight Training
PHYSICAL EDUC ACTIVITY PROGM,PE ACTIV,270,Basketball II
PHYSICAL EDUC ACTIVITY PROGM,PE ACTIV,173,Soccer I
PROFESSIONAL ORIENTATION,PRO OR,200,Career Orientation
Patho-Biological Sciences,PATH-BIO,514,Veterinary Parasitology
Patho-Biological Sciences,PATH-BIO,500,Molecular Biology Techniques
Patho-Biological Sciences,PATH-BIO,150,Contemporary Topics and Careers in the Veterinary Sciences
Patho-Biological Sciences,PATH-BIO,512,Introduction to Veterinary Epidemiology
Patho-Biological Sciences,PATH-BIO,350,Parasitology
Patho-Biological Sciences,PATH-BIO,561,Veterinary Systemic Pathology II
Patho-Biological Sciences,PATH-BIO,518,Infctious Disease Pathobiol
Patho-Biological Sciences,PATH-BIO,790,Immunology of Infectious Disease
Patho-Biological Sciences,PATH-BIO,681,Senior Honors Thesis
Patho-Biological Sciences,PATH-BIO,660,Veterinary Necropsy Rotation
Patho-Biological Sciences,PATH-BIO,721,null
Patho-Biological Sciences,PATH-BIO,720,Advanced Immunology: Critical Thinking
Patho-Biological Sciences,PATH-BIO,750,Host-Parasite Relationships in Vertebrate Viral Disease
Patho-Biological Sciences,PATH-BIO,517,Veterinary Bacteriology and Mycology
Patho-Biological Sciences,PATH-BIO,525,"Active, Integrated Learning I"
Patho-Biological Sciences,PATH-BIO,528,Immunology
Patho-Biological Sciences,PATH-BIO,515,Regulatory Veterinary Medicine and Public Health
Patho-Biological Sciences,PATH-BIO,920,Thesis Research Seminar
Patho-Biological Sciences,PATH-BIO,675,Special Topics
