subject_name,subject_abbreviation,course_number,course_name
Patho-Biological Sciences,PATH-BIO,526,"Active, Integrated Learning II"
Patho-Biological Sciences,PATH-BIO,351,Parasitology Laboratory
Patho-Biological Sciences,PATH-BIO,562,Veterinary Clinical Pathology
Patho-Biological Sciences,PATH-BIO,699,Directed Study
Patho-Biological Sciences,PATH-BIO,513,Veterinary Virology
Patho-Biological Sciences,PATH-BIO,559,Veterinary General Pathology
Patho-Biological Sciences,PATH-BIO,560,Veterinary Systemic Pathology I
Patho-Biological Sciences,PATH-BIO,930,Advanced Seminar
Patho-Biological Sciences,PATH-BIO,299,Independent Study
Patho-Biological Sciences,PATH-BIO,990,Research
Patho-Biological Sciences,PATH-BIO,510,Veterinary Immunology
Patho-Biological Sciences,PATH-BIO,799,Practicum in Veterinary Science Teaching
Patho-Biological Sciences,PATH-BIO,529,Immunology Laboratory
Pathology and Laboratory Medicine,PATH,210,"HIV: Sex, Society and Science"
Pathology and Laboratory Medicine,PATH,990,Research
Pathology and Laboratory Medicine,PATH,750,Cellular and Molecular Biology/Pathology
Pathology and Laboratory Medicine,PATH,802,Histopathology for Translational Scientists
Pathology and Laboratory Medicine,PATH,901,Student Seminar / Journal Club
Pathology and Laboratory Medicine,PATH,709,Topics-Cell Struct & Functn
Pathology and Laboratory Medicine,PATH,654,Method Validation Projects
Pathology and Laboratory Medicine,PATH,926,Pathology: Clinical Microbiology-Marshfield
Pathology and Laboratory Medicine,PATH,951,"Cell Matrix, Struct, Functn"
Pathology and Laboratory Medicine,PATH,656,Quality Control Projects
Pathology and Laboratory Medicine,PATH,809,Molecular Mechanisms of Disease
Pathology and Laboratory Medicine,PATH,655,Quality Control Basics
Pathology and Laboratory Medicine,PATH,658,Quality Planning Projects
Pathology and Laboratory Medicine,PATH,404,Pathophysiologic Principles of Human Diseases
Pathology and Laboratory Medicine,PATH,691,Senior Thesis
Pathology and Laboratory Medicine,PATH,653,Method Validation Basics
